E_keV,h_Sv/Gy
5.0,0.000437
6.0,0.000781
7.0,0.00145
8.0,0.00284
9.0,0.00531
10.0,0.00926
12.0,0.0209
13.0,0.0288
15.0,0.0499
17.0,0.0758
20.0,0.134
25.0,0.26
30.0,0.432
40.0,0.816
50.0,1.14
60.0,1.35
70.0,1.43
80.0,1.44
100.0,1.39
150.0,1.25
200.0,1.17
300.0,1.09
400.0,1.06
500.0,1.04
511.0,1.04
600.0,1.02
662.0,1.02
800.0,1.01
1000.0,1.0
1117.0,1.0
1330.0,1.0
1500.0,0.996
2000.0,0.99
3000.0,0.977
4000.0,0.964
5000.0,0.945
6000.0,0.928
6129.0,0.925
8000.0,0.924
10000.0,0.916
15000.0,0.882
20000.0,0.842
30000.0,0.748
40000.0,0.662
50000.0,0.607
