E_keV,hp_0_Sv/Gy,hp_15,hp_30,hp_45,hp_60,hp_75,hp_90,hp_180,hp_ROT,hp_ISO,hp_SS-ISO,hp_IS-ISO
5.0,0.000436,0.000458,0.000455,0.000423,0.000377,0.000306,0.000224,0.000435,0.000374,0.000339,0.000342,0.000333
6.0,0.00078,0.000841,0.000851,0.000804,0.000712,0.00056,0.00039,0.000747,0.000662,0.000605,0.000615,0.00059
7.0,0.00145,0.00157,0.00156,0.00145,0.00127,0.000974,0.000637,0.00115,0.00112,0.00102,0.00104,0.000989
8.0,0.00284,0.00296,0.00285,0.00257,0.00218,0.00164,0.00102,0.00159,0.00184,0.00164,0.00169,0.00158
9.0,0.00531,0.00539,0.00501,0.00439,0.00363,0.00266,0.0016,0.00202,0.00296,0.00256,0.00266,0.00245
10.0,0.0675,0.0668,0.0613,0.0526,0.0424,0.0306,0.0183,0.018,0.0331,0.029,0.0294,0.0276
15.0,0.153,0.15,0.139,0.119,0.0929,0.0641,0.0391,0.0153,0.0657,0.0545,0.0563,0.0533
20.0,0.222,0.217,0.203,0.18,0.142,0.097,0.0596,0.0265,0.0997,0.0804,0.08,0.0773
30.0,0.31,0.305,0.287,0.255,0.21,0.152,0.0963,0.0961,0.158,0.124,0.127,0.122
40.0,0.345,0.341,0.322,0.287,0.241,0.184,0.123,0.162,0.197,0.157,0.16,0.151
50.0,0.364,0.36,0.341,0.307,0.261,0.203,0.143,0.207,0.222,0.178,0.182,0.172
60.0,0.385,0.382,0.362,0.327,0.281,0.222,0.159,0.24,0.244,0.197,0.201,0.191
70.0,0.411,0.407,0.385,0.351,0.304,0.242,0.176,0.271,0.267,0.216,0.221,0.211
80.0,0.443,0.437,0.416,0.38,0.33,0.264,0.194,0.301,0.295,0.237,0.243,0.228
100.0,0.519,0.512,0.487,0.45,0.393,0.319,0.236,0.361,0.35,0.285,0.294,0.276
150.0,0.748,0.74,0.711,0.658,0.582,0.481,0.365,0.539,0.521,0.431,0.444,0.417
200.0,0.998,0.991,0.954,0.891,0.797,0.668,0.513,0.735,0.715,0.594,0.607,0.572
300.0,1.5,1.49,1.45,1.37,1.24,1.06,0.833,1.15,1.11,0.934,0.964,0.906
400.0,2.0,1.98,1.93,1.83,1.68,1.46,1.16,1.57,1.51,1.28,1.32,1.25
500.0,2.46,2.45,2.39,2.28,2.1,1.85,1.5,1.98,1.9,1.64,1.68,1.58
600.0,2.91,2.89,2.83,2.71,2.51,2.23,1.84,2.37,2.29,1.98,2.02,1.91
800.0,3.73,3.72,3.65,3.5,3.29,2.96,2.48,3.12,3.01,2.63,2.69,2.57
1000.0,4.49,4.47,4.4,4.24,4.01,3.64,3.09,3.82,3.7,3.25,3.33,3.18
1500.0,6.13,6.11,6.03,5.86,5.6,5.18,4.52,5.38,5.22,4.68,4.77,4.58
2000.0,7.54,7.52,7.43,7.26,6.98,6.52,5.8,6.75,6.57,5.95,6.05,5.83
3000.0,9.98,9.97,9.86,9.67,9.36,8.88,8.05,9.1,8.9,8.18,8.32,8.03
4000.0,12.1,12.1,12.0,11.8,11.5,10.9,10.1,11.2,11.0,10.2,10.3,10.0
5000.0,14.2,14.1,14.0,13.8,13.4,12.9,12.0,13.1,12.9,12.0,12.2,11.9
6000.0,16.1,16.1,15.9,15.7,15.3,14.7,13.8,15.0,14.7,13.8,14.0,13.6
8000.0,19.9,19.9,19.7,19.4,19.0,18.3,17.2,18.6,18.3,17.3,17.5,17.1
10000.0,23.7,23.6,23.5,23.1,22.6,21.9,20.7,22.2,21.9,20.7,21.0,20.5
15000.0,33.3,33.2,33.0,32.5,31.8,30.8,29.3,31.2,30.9,29.3,29.6,29.0
20000.0,43.2,43.1,42.8,42.2,41.4,40.1,38.1,40.5,40.2,38.2,38.5,37.7
30000.0,64.1,63.9,63.5,62.6,61.3,59.4,56.5,60.0,59.6,56.6,57.2,56.0
40000.0,86.3,86.1,85.5,84.2,82.5,79.9,76.1,80.8,80.2,76.2,77.0,75.4
50000.0,109.0,109.0,108.0,107.0,105.0,101.0,96.3,102.0,102.0,96.4,97.5,95.5
