E_keV,dskin_pillar_0_pGy.cm2,dskin_pillar_15,dskin_pillar_30,dskin_pillar_45,dskin_pillar_60,dskin_pillar_75,dskin_pillar_90,dskin_pillar_105,dskin_pillar_120,dskin_pillar_135,dskin_pillar_150,dskin_pillar_165,dskin_pillar_180,dskin_pillar_ROT
2.0,2.94,2.59,1.67,0.673,0.11,0.00205,3.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.543
3.0,20.8,19.8,16.9,12.0,5.71,0.873,0.00253,0.0,0.0,0.0,0.0,0.0,0.0,5.48
4.0,26.2,25.7,23.8,20.4,14.3,5.2,0.0954,0.0,0.0,0.0,0.0,0.0,0.0,8.55
5.0,22.7,22.4,21.6,19.9,16.5,9.14,0.556,0.0,0.0,0.0,0.0,0.0,0.0,8.45
7.0,14.0,14.0,13.7,13.3,12.4,9.81,1.83,0.0,0.0,0.0,0.0,0.0,0.0,6.01
10.0,7.2,7.22,7.17,7.14,6.94,6.37,2.44,0.00414,0.0,0.0,0.0,0.0,0.0,3.41
15.0,3.22,3.22,3.22,3.2,3.18,3.08,2.0,0.194,0.0107,0.000854,0.000152,8.87e-05,3.8e-05,1.64
20.0,1.85,1.84,1.85,1.83,1.81,1.77,1.41,0.441,0.115,0.0388,0.0163,0.0105,0.00805,1.01
30.0,0.897,0.9,0.904,0.89,0.886,0.868,0.772,0.462,0.265,0.168,0.124,0.0998,0.0986,0.57
50.0,0.464,0.467,0.455,0.463,0.454,0.45,0.423,0.324,0.231,0.186,0.159,0.143,0.134,0.338
70.0,0.419,0.42,0.417,0.413,0.413,0.41,0.39,0.307,0.24,0.198,0.167,0.151,0.149,0.318
100.0,0.511,0.511,0.514,0.509,0.511,0.513,0.493,0.399,0.316,0.263,0.226,0.217,0.21,0.403
150.0,0.777,0.779,0.773,0.773,0.783,0.795,0.774,0.635,0.525,0.442,0.399,0.365,0.356,0.634
200.0,1.03,1.04,1.05,1.06,1.08,1.11,1.07,0.912,0.757,0.646,0.586,0.539,0.528,0.887
300.0,1.11,1.13,1.19,1.28,1.42,1.54,1.58,1.42,1.21,1.08,0.982,0.945,0.933,1.23
500.0,0.941,0.972,1.09,1.28,1.57,1.9,2.17,2.12,1.98,1.85,1.74,1.68,1.65,1.64
662.0,0.819,0.859,0.985,1.23,1.58,2.04,2.47,2.55,2.48,2.36,2.28,2.22,2.18,1.88
700.0,0.805,0.837,0.975,1.21,1.6,2.08,2.54,2.66,2.57,2.46,2.38,2.32,2.32,1.93
1000.0,0.663,0.708,0.832,1.09,1.6,2.26,2.98,3.34,3.36,3.28,3.24,3.18,3.19,2.32
1250.0,0.574,0.608,0.757,1.1,1.6,2.35,3.29,3.75,3.95,3.93,3.91,3.92,3.88,2.62
1500.0,0.533,0.572,0.729,0.977,1.56,2.45,3.53,4.22,4.48,4.5,4.47,4.43,4.49,2.87
2000.0,0.44,0.463,0.605,0.911,1.49,2.57,3.99,4.97,5.47,5.63,5.6,5.62,5.69,3.37
3000.0,0.324,0.356,0.496,0.763,1.37,2.62,4.69,6.38,7.19,7.62,7.67,7.62,7.67,4.23
5000.0,0.251,0.276,0.365,0.563,1.08,2.48,5.52,8.92,10.4,11.1,11.3,11.4,11.4,5.77
7000.0,0.203,0.233,0.292,0.467,0.895,2.17,6.06,10.7,13.3,14.3,14.7,14.9,14.9,7.14
10000.0,0.206,0.194,0.227,0.374,0.747,1.81,5.91,12.8,17.1,19.0,19.7,20.0,20.2,9.01
15000.0,0.181,0.185,0.211,0.303,0.535,1.37,5.44,14.4,21.8,26.1,27.9,28.4,28.6,11.8
20000.0,0.153,0.154,0.19,0.247,0.455,1.15,5.07,15.0,24.3,30.6,34.1,35.7,36.0,13.8
30000.0,0.149,0.148,0.158,0.224,0.373,0.926,4.67,15.8,27.1,35.8,41.3,44.4,45.3,16.1
50000.0,0.111,0.111,0.145,0.176,0.304,0.751,4.37,17.0,30.7,41.6,49.3,53.7,55.3,18.8
